$id,Id,Accords,AgeVignes,Appellation,AppellationLabel,BestAfter,BestBefore,AssemblageCepage,Classement,Code_ean,CommentaireBouche,CommentaireMillesime,CommentaireNez,CommentaireOeil,CommentaireProducteur,CommentaireService,CommentaireSituation,CommentaireTerroir,CommentaireVin,CommentaireVinification,CommentaireViticulture,Contenance,ContenanceUnit,CouleurVin,DateCrawl,DegreAlcool,DenominationGeo,DenominationVitivini,Dosage,ElevageDuree,Img_btl_back_cloud,Img_btl_back_source,Img_btl_front_cloud,SourceImageBottle,Img_etq_back_cloud,Img_etq_back_source,Img_etq_front_cloud,Img_etq_front_source,AnneeMillesime,NomCuvee,NomVin,NomPays,PotentielGarde,PrixVin,PrixDevise,NomProducteur,Recompenses,NomRegion,TempService,TypeVin,UrlProduit,UrlSiteSource,TypeVendange,NomVignoble,ViticultureLabel
1902,1902,,0,IGP Aude - Hauterive ,,0,0,viognier 100%,,0,,,,,,,,,Parfait pour faire ressortir le côté iodé des fruits de mer ou poissons,,,75,cL,Blanc,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/b/o/bouysseviognierdscf4901-1529580234.png,,,,,2017,,Viognier,France,,10.2,EUR,Martine Pagès,,Languedoc,0,,https://www.lesgrappes.com/domaine-la-bouysse-viognier-blanc-2017,https://www.lesgrappes.com/vins,,Domaine La Bouysse,"Bio - Certifié AB, Bio - Certifié Ecocert"
1903,1903,,0,Saumur,,0,0,100 % Chenin,,0,"Brillant et jaune doré, ce 2017 distille au nez de subtils arômes de poire et de citron agrémenté d’une jolie note lactée Souple à l’attaque, la bouche dominée par les fruits blancs s’équilibre grâce à une franche acidité",,"Brillant et jaune doré, ce 2017 distille au nez de subtils arômes de poire et de citron agrémenté d’une jolie note lactée",,,,,,"Parfait en apéritif, ou pour accompagner des coquilles Saint Jacques, une sole meunière, un fromage de chèvre, il est également délicieux avec une tarte au citron meringuée",,,75,ge,Blanc,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/p/2/p2-1530717726.png,,,,,2017,,Les Ormeaux,France,,7.1,EUR,Marie Bugnicourt,,Loire,9,,https://www.lesgrappes.com/domaine-du-haut-bellay-les-ormeaux-blanc-2017,https://www.lesgrappes.com/vins,,Domaine du Haut Bellay,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1904,1904,,0,Saumur,,0,0,100% Cabernet franc,,0," La bouche est fraîche, friande et bien équilibrée",,,,,,,,En apéritif comme sur un dessert aux fraises,,,75,cL,Rosé,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/p/8/p8-1530781637.png,,,,,2017,,Saumur Rosé,France,,7,EUR,Marie Bugnicourt,,Loire,0,,https://www.lesgrappes.com/domaine-du-haut-bellay-saumur-rose-rose-2017,https://www.lesgrappes.com/vins,,Domaine du Haut Bellay,Bio - Certifié AB
1905,1905,,0,Côte de nuits villages,,0,0,100% Chardonnay,,0,,,,"La robe est d'une couleur jaune, pâle, et présente de beaux reflets or",,,,,"Sublimera vos huitres, poissons, volailles, et sera parfait avec un plateau de fromages",,,75,cL,Blanc,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/r/s/rserve_de_la_comtesse-1531146081.png,,,,,2016,,"Côte de nuits-villages ""Réserve de la Comtesse""",France,,24.5,EUR,Philippe Cordonnier ,,Bourgogne,11,,https://www.lesgrappes.com/domaine-philippe-cordonnier-cote-de-nuits-villages-reserve-de-la-comtesse-blanc-2016,https://www.lesgrappes.com/vins,,Domaine Philippe Cordonnier ,Traditionnel - Agriculture Traditionnelle / Conventionnelle - Sans certification
1906,1906,Viande blanche ,0,Vin de France,,0,0,"20%Merlot, 25% Syrah, 25% Duras, 25% Braucoll",,0,,,,,,,,,"Parfait avec les viandes blanches, grillades, légumes rôtis",,,75,cL,Rouge,16/10/2018 13:02,13,,,,0,,,,https://s1.lesgrappes.com/media/catalog/product/l/a/la_cousine_de_ma_mre_2016-1531131645.jpg,,,,,2016,,LA COUSINE DE MA MERE,France,3 ans,10,EUR,Nicolas Grosbois,,Sud-Ouest,0,,https://www.lesgrappes.com/domaine-grosbois-la-cousine-de-ma-mere-rouge-2016,https://www.lesgrappes.com/vins,,Domaine Grosbois,Bio - Certifié Ecocert
1907,1907,Apéritif Dessert Fromage Viande rouge Volaille ,0,Champagne,,0,0,50% pinot meunier et 50% pinot noir,,0," L'odorat se retrouve alors en bouche avec la fraise, la cerise et la groseille",,,,,,,,"Parfait pour l'apéritif, un magret de canard, du fromage (chaource) ou encore un dessert fruité (charlotte fraise/framboise). Ce rosé de saignée pourra vous accompagner dans vos soirée barbecue entre amis",,,75,cL,,16/10/2018 13:02,12,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/a/p/aphrodite.b-1531228959.jpg,,,,,,,Cuvée Aphrodite - Rosé de Saignée,France,18 mois,31,EUR,Lydie et Arnaud Billard,,Champagne,6,Pétillant,https://www.lesgrappes.com/champagne-dom-bacchus-cuvee-aphrodite-rose-de-saignee-petillant,https://www.lesgrappes.com/vins,,Champagne Dom Bacchus,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1908,1908,Dessert Foie gras ,0,Champagne,,0,0,100% pinot meunier,,0," L'attaque en bouche est intense plutôt boisé, torréfié avec une note de miel, lorsqu'on le déguste accompagné d'un chocolat une pointe de vanille et de fruits confits apparaît",,"Vêtu d'un jaune pâle au reflets dorés, se dégage une odeur de fruits confits et de mangue",,,,,,"Pour un accord parfait avec le foie gras, les dessert à base de chocolat (forêt noire) ou les truffes au chocolat",,,75,cL,,16/10/2018 13:02,12,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/1/2/12523956_827075554064101_4151255241106281200_n-1531229766.jpg,,,,,2010,,Cuvée Bassarica - Doux,France,6°C et à conserver jusqu'à 18 mois,31,EUR,Lydie et Arnaud Billard,,Champagne,6,Pétillant,https://www.lesgrappes.com/champagne-dom-bacchus-cuvee-bassarica-doux-petillant-2010,https://www.lesgrappes.com/vins,,Champagne Dom Bacchus,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1909,1909,Fromage Gibier Viande blanche Viande rouge ,0,Juliénas,,0,0,Gamay,,0,,,"Robe rubis profond, bouquet épicé et fruité, parfums de pêche, framboise, réséda","Robe rubis profond, bouquet épicé et fruité, parfums de pêche, framboise, réséda",,,,,"Avec un gibier, un fromage bleu, une oie farcie",,,0,,Rouge,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/j/u/julinas_pacalet-1530282790.png,,,,,2017,,Juliénas ,France,6 à 10 ans,17,EUR,Christophe Pacalet,,Beaujolais,0,,https://www.lesgrappes.com/christophe-pacalet-julienas-rouge-2017,https://www.lesgrappes.com/vins,,Christophe Pacalet,Nature - Sans Cahier des Charges
1910,1910,Asiatique Foie gras Fromage Gibier Viande rouge Volaille ,0,Fronton,,0,0,NEGRETTE SYRAH,,0," Finesse des tanins, structure droite et franche, equilibrée",,Nez poivré de garrigues et de fruits rouges,,,,,,,,,75,cL,Rouge,16/10/2018 13:02,12,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/f/a/faconpuzzle2015web-1530522014.jpg,,,,,2015,,FACON PUZZLE,France,,14.5,EUR,Philippe et Diane CAUVIN,,Sud-Ouest,17,,https://www.lesgrappes.com/la-colombiere-facon-puzzle-rouge-2015,https://www.lesgrappes.com/vins,,La Colombière,"Non Certifié ou En Conversion, Bio - Certifié Ecocert"
1911,1911,,0,Saint-Amour,,0,0,Gamay noir à jus blanc,,0,"Belle robe d’un rubis étincelant, vin très fruité et particulièrement agréable en bouche avec de délicates notes de fruits rouges, pêche et abricot",,,"Belle robe d’un rubis étincelant, vin très fruité et particulièrement agréable en bouche avec de délicates notes de fruits rouges, pêche et abricot",,,,,Parfait sur un bœuf bourguignon,,,75,cL,Rouge,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/s/a/saint_amour_pacalet-1530603400.png,,,,,2017,,Saint Amour,France,,18,EUR,Christophe Pacalet,,Beaujolais,0,,https://www.lesgrappes.com/christophe-pacalet-saint-amour-rouge-2017,https://www.lesgrappes.com/vins,,Christophe Pacalet,Nature - Cahier des Charges Vins AVN
1912,1912,,0,Côtes du Rhône Villages Visan,,0,0,Syrah 80% - Grenache 20%,,0," Nez intense et puissant aux arômes de cassis et de mûres, romarin, laurier et olives noires Bouche fraicheur et velouté avec des tanins fondus et des arômes de cerises mures",," Nez intense et puissant aux arômes de cassis et de mûres, romarin, laurier et olives noires","Couleur brillante, rouge sombre",,,,,"Ce vin demande d'accompagner des plats fins et élaborés, comme un filet de bœuf ou du gibier",,,75,cL,Rouge,16/10/2018 13:02,15,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/p/h/photol_argentire-1530640753.jpg,,,,,2015,,L'Argentière,France,6 - 7 ans,18,EUR,Vincent TRAMIER,,Vallée du Rhône,17,,https://www.lesgrappes.com/domaine-de-coste-chaude-largentiere-rouge-2015,https://www.lesgrappes.com/vins,,Domaine de Coste Chaude,Bio - Certifié Ecocert
1913,1913,Fromage Viande blanche Viande rouge Volaille ,0,Saint-Guilhem-le-Désert,,0,0,"Merlot 75%, Grenache noir 15%, Syrah 10%",,0," La bouche est croquante, juteuse, à la finale minérale appétente",," L’éclat de la robe n’a d‘égal que celui du nez qui s’exprime sur des notes de mara des bois, de confiture de griotte et de poivre noir","Jolie robe grenat, brillante L’éclat de la robe n’a d‘égal que celui du nez qui s’exprime sur des notes de mara des bois, de confiture de griotte et de poivre noir",,,,,"A boire entre copains, autour d'une belle pièce de viande grillée au barbecue, ou en accompagnement de quelques cochonnailles. ClairObscur fera aussi honneur à un tartare de boeuf soigneusement taille au couteau",,,75,cL,Rouge,16/10/2018 13:02,14,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/v/i/visuel_clair_obscur_2015-1490820338.jpg,,,,,2016,,Clair Obscur,France,,9.7,EUR,Domaine De l'Eglisette,,Languedoc,17,,https://www.lesgrappes.com/domaine-de-leglisette-clair-obscur-rouge-2016,https://www.lesgrappes.com/vins,,Domaine de l'Eglisette,
1914,1914,Fromage Gibier Viande rouge Volaille ,0,Terrasses du Larzac,,0,0,Syrah 65% Grenache Noir 43% Cinsault 2%,,0," La bouche est légèrement corsée avec une texture douce et arrondie Vin éclatant sur le fruit, le kirsch avec une finale persistante et fraîche",," Nez encore jeune aux notes florales, lavande, garrigue, fruits rouges et poivre","Robe rubis moyen à profond avec une teinte de pourpre Vin éclatant sur le fruit, le kirsch avec une finale persistante et fraîche",,,,,"Ses notes de griotte et de réglisse s’accorderont parfaitement avec du gibier, du canard ou des viandes rouges. L'accord idéal ? Une belle entrecôte",,,75,cL,Rouge,16/10/2018 13:02,14,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/v/i/visuel_terre_astrale_2016-1521911882.jpg,,,,,2016,,Terre Astrale,France,,13.7,EUR,Domaine De l'Eglisette,,Languedoc,17,,https://www.lesgrappes.com/domaine-de-leglisette-terre-astrale-rouge-2016,https://www.lesgrappes.com/vins,,Domaine de l'Eglisette,Traditionnel - Agriculture Traditionnelle / Conventionnelle - Sans certification
1915,1915,Viande blanche Viande rouge ,0,Vin de pays d'Oc,,0,0,"Syrah 65 %, cabernet sauvignon 35 %",,0," En bouche, les tanins sont fondus et soyeux",,,La robe est d'un grenat profond,,,,,Parfait avec des côtelettes d'agneau grillées ou une côte de bœuf,,,75,cL,Rouge,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/p/a/pasdedeux-1485439332.png,,,,,2017,,""" Pas de deux """,France,,11.9,EUR,jean pierre vailhe,,Languedoc,18,,https://www.lesgrappes.com/mas-de-valbrune-pas-de-deux-rouge-2017,https://www.lesgrappes.com/vins,,Mas de Valbrune,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1916,1916,Fromage Poisson ,0,,,0,0,Clairette du Languedoc,,0,"La robe est brillante, les arômes d'agrumes, d'amande et de miel s'ouvrent en bouche",,,"La robe est brillante, les arômes d'agrumes, d'amande et de miel s'ouvrent en bouche",,,,,"En apéritif ou tout au long du repas, s’accorde parfaitement avec le poisson (brandade de morue), et les fromages frais à pâte tendre (chèvre, brebis",,,75,cL,Blanc,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/m/m/mms_img9683775810-1485428219.png,,,,,2014,,""" Praelude """,France,3 ans,9.5,EUR,jean pierre vailhe,,Languedoc,11,,https://www.lesgrappes.com/mas-de-valbrune-praelude-blanc-2014,https://www.lesgrappes.com/vins,,Mas de Valbrune,
1917,1917,Apéritif Fruit de mer Poisson Viande blanche Volaille ,0,Alsace,,0,0,95% Auxerrois et 5% Pinot Blanc,,0, Fringant et gras en bouche avec une belle structure,,,,,,,,A apprécier dès maintenant avec des petits plats simples,,,75,cL,Blanc,16/10/2018 13:02,12,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/p/b/pb_a_16-1502799735.jpg,,,,,2016,,Pinot Blanc Auxerrois,France,,8.15,EUR,Yvan Zeyssolff,,Alsace,0,,https://www.lesgrappes.com/maison-zeyssolff-pinot-blanc-auxerrois-blanc-2016,https://www.lesgrappes.com/vins,,Maison Zeyssolff,
1918,1918,Apéritif Dessert Fromage Fruit de mer Poisson Viande blanche Volaille ,0,Alsace,,0,0,100% Savagnin Rose,,0," Rempli bien la bouche, une belle rondeur associée à une acidité agréable en font un vin bien équilibré et charmeur",,,"Robe brillante, aux reflets jaune clair",,,,,"Un vin très agréable dont la finesse accompagne bien les terrines, viandes blanches, tartes flambées ainsi que les poissons accompagnés d’une sauce à la crème",,,75,cL,Blanc,16/10/2018 13:02,14,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/k/l/klev_16-1502800334.jpg,,,,,2017,,Klevener de Heiligenstein,France,,13.2,EUR,Yvan Zeyssolff,,Alsace,0,,https://www.lesgrappes.com/maison-zeyssolff-klevener-de-heiligenstein-blanc-2017,https://www.lesgrappes.com/vins,,Maison Zeyssolff,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1919,1919,Apéritif Dessert Foie gras Fromage ,0,Alsace,,0,0,100% Pinot Gris,,0,,,,,,,,,"Buvez-le pour lui-même, ou en l’accompagnant des mets les plus raffinés comme le foie gras, les terrines ainsi que la cuisine exotique. Ou tout simplement avec du munster",,,75,cL,Blanc,16/10/2018 13:02,14,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/p/g/pg_z_15-1503062495.jpg,,,,,2015,,Pinot Gris Cuvée Z,France,10 ans,19,EUR,Yvan Zeyssolff,,Alsace,0,,https://www.lesgrappes.com/maison-zeyssolff-pinot-gris-cuvee-z-blanc-2015,https://www.lesgrappes.com/vins,,Maison Zeyssolff,
1920,1920,Apéritif Foie gras Fromage Poisson ,0,Alsace,,0,0,100% Savagnin Rose,,0," La bouche est pleine et onctueuse avec des notes de rose, fruits à chair jaune (abricot, pêche de vigne)",, Nez encore discret avec quelques notes florales,Robe éclatante aux reflets jaunes,,,,,"Vin demi-sec très agréable dont la finesse accompagne bien les terrines, viandes blanches, tartes flambées ainsi que les poissons accompagnés d’une sauce à la crème ou du foie gras",,,75,cL,Blanc,16/10/2018 13:02,14,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/k/l/kle_z15-1503062791.jpg,,,,,2017,,Klevener de Heiligenstein Cuvée Z,France,5 ans,25,EUR,Yvan Zeyssolff,,Alsace,0,,https://www.lesgrappes.com/maison-zeyssolff-klevener-de-heiligenstein-cuvee-z-blanc-2017,https://www.lesgrappes.com/vins,,Maison Zeyssolff,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1921,1921,Apéritif Dessert Foie gras Fromage ,0,Alsace,,0,0,100% Gewurztraminer,,0,,,,,,,,,"Buvez-le pour lui-même, ou en accompagnement des mets les plus raffinés comme le foie gras, la cuisine exotique et bien sûr le munster",,,75,cL,,16/10/2018 13:02,13,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/g/e/gewurzvt15-1503063817.jpg,,,,,2015,,Gewurztraminer Vendanges Tardives,France,15 ans,27,EUR,Yvan Zeyssolff,,Alsace,0,,https://www.lesgrappes.com/maison-zeyssolff-gewurztraminer-vendanges-tardives-liquoreux-2015,https://www.lesgrappes.com/vins,,Maison Zeyssolff,
1922,1922,Fromage Poisson Viande blanche ,0,Alsace,,0,0,100% Pinot,,0,Ses arômes complexes de fruits à noyaux proviennent des PINOT,,,,,,,,II accompagnera idéalement vos poissons et viandes blanches en sauce ou encore les fromages à pâte cuite,,,75,cL,Blanc,16/10/2018 13:02,12,,,,0,,,,https://s1.lesgrappes.com/media/catalog/product/l/a/laplomb-1510157650.jpg,,,,,2017,,Domaine Rieflé - L'Aplomb AD QUADRATUM,France,5 ans,10.2,EUR,Paul et Thomas RIEFLE,,Alsace,11,,https://www.lesgrappes.com/domaine-riefle-landmann-domaine-riefle-laplomb-ad-quadratum-blanc-2017,https://www.lesgrappes.com/vins,,Domaine Riefle-Landmann,Bio - Certifié AB
1923,1923,,0,Côtes du Rhône Villages,,0,0,"Cinsault, Grenache",,0,Belle rôbe qui se délie sur des arômes fruités en bouche,,,,,,,,Avec une petite grillade au soleil,,,75,cL,Rosé,16/10/2018 13:02,14,,,,0,,,,https://s1.lesgrappes.com/media/catalog/product/c/a/capture_decran_20160606_a_17.56.37-1465228646.png,,,,,2016,,Rosé,France,,8.5,EUR,Laurent Bellion,,Vallée du Rhône,0,,https://www.lesgrappes.com/domaine-eyguestre-rose-rose-2016,https://www.lesgrappes.com/vins,,Domaine Eyguestre,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1924,1924,,0,Côtes du Rhône Villages Séguret,,0,0,"60% grenache, 20% syrah, 20% carignan",,0,,,,,,,,,,,,75,cL,Rouge,16/10/2018 13:02,14,,,,0,,,,https://s1.lesgrappes.com/media/catalog/product/1/9/19366602_2000379006859384_307399987082773280_n-1538555518.png,,,,,2016,,Seguret Rouge 2016,France,3-6 ans,10,EUR,Laurent Bellion,,Vallée du Rhône,0,,https://www.lesgrappes.com/domaine-eyguestre-domaine-eyguestre-seguret-rouge-2016-rouge-2016,https://www.lesgrappes.com/vins,,Domaine Eyguestre,Agriculture raisonnée - Agriculture Raisonné - Sans certification
1925,1925,Gibier Viande rouge ,0,Bordeaux Supérieur,,0,0,Cabernet sauvignon 100%,,0,,,,,,,,,"Parfait sur des grillades, et même de la cuisine épicée",,,75,cL,Rouge,16/10/2018 13:02,12,,,,0,,,,https://s.lesgrappes.com/media/catalog/product/b/o/bouteille-1500644424.jpg,,,,,2005,,Milles et une nuits,France,,14.8,EUR,Jean François Moniot,,Bordeaux,15.5,,https://www.lesgrappes.com/lentre-deux-mondes-lentre-deux-monde-milles-et-une-nuits-rouge-2005,https://www.lesgrappes.com/vins,,L'entre deux mondes,Non Certifié ou En Conversion
